COL,LAY,ROW,TSTEP,O3,PMIJ
1,0,1,2011-01-01 00:00:00,33.74245834350586,2.024115562438965
1,0,1,2011-01-01 01:00:00,33.551151275634766,2.068547248840332
1,0,1,2011-01-01 02:00:00,33.493038177490234,2.0599782466888428
1,0,1,2011-01-01 03:00:00,33.448883056640625,2.0421085357666016
1,0,1,2011-01-01 04:00:00,33.50004196166992,2.0372016429901123
1,0,1,2011-01-01 05:00:00,33.68427658081055,2.01134991645813
1,0,1,2011-01-01 06:00:00,33.88937759399414,1.921264886856079
1,0,1,2011-01-01 07:00:00,34.07331848144531,1.779659390449524
1,0,1,2011-01-01 08:00:00,34.08097839355469,1.6472936868667603
1,0,1,2011-01-01 09:00:00,34.12512969970703,1.5113526582717896
1,0,1,2011-01-01 10:00:00,34.32841491699219,1.3939048051834106
1,0,1,2011-01-01 11:00:00,34.53762435913086,1.3112338781356812
1,0,1,2011-01-01 12:00:00,34.79648971557617,1.2233964204788208
1,0,1,2011-01-01 13:00:00,34.888912200927734,1.1501741409301758
1,0,1,2011-01-01 14:00:00,34.814781188964844,1.0915422439575195
1,0,1,2011-01-01 15:00:00,34.58693313598633,1.0644832849502563
1,0,1,2011-01-01 16:00:00,34.48750686645508,1.0577994585037231
1,0,1,2011-01-01 17:00:00,34.45594787597656,1.0441749095916748
1,0,1,2011-01-01 18:00:00,34.00170135498047,1.0133016109466553
1,0,1,2011-01-01 19:00:00,33.68748474121094,0.9903199076652527
1,0,1,2011-01-01 20:00:00,33.682350158691406,0.9872853755950928
1,0,1,2011-01-01 21:00:00,33.68827819824219,1.0107496976852417
1,0,1,2011-01-01 22:00:00,33.722591400146484,1.0392204523086548
1,0,1,2011-01-01 23:00:00,33.61952590942383,1.0545992851257324
1,0,1,2011-01-02 00:00:00,33.11948776245117,1.0390280485153198
1,0,1,2011-01-02 01:00:00,33.130584716796875,0.9870970249176025
1,0,1,2011-01-02 02:00:00,33.502525329589844,0.9276247024536133
1,0,1,2011-01-02 03:00:00,33.7408561706543,0.9114902019500732
1,0,1,2011-01-02 04:00:00,34.142173767089844,0.9087114334106445
1,0,1,2011-01-02 05:00:00,34.254058837890625,0.9216001629829407
1,0,1,2011-01-02 06:00:00,35.0359001159668,0.905428946018219
1,0,1,2011-01-02 07:00:00,36.81935501098633,0.9610821604728699
1,0,1,2011-01-02 08:00:00,36.846832275390625,0.8817922472953796
1,0,1,2011-01-02 09:00:00,35.45017623901367,0.8917077779769897
1,0,1,2011-01-02 10:00:00,35.001102447509766,0.9498414993286133
1,0,1,2011-01-02 11:00:00,35.90993881225586,1.1811015605926514
1,0,1,2011-01-02 12:00:00,36.79815673828125,1.4011205434799194
1,0,1,2011-01-02 13:00:00,37.943599700927734,1.5923714637756348
1,0,1,2011-01-02 14:00:00,39.26793670654297,1.7080206871032715
1,0,1,2011-01-02 15:00:00,39.80479431152344,1.7754290103912354
1,0,1,2011-01-02 16:00:00,39.248291015625,1.7761836051940918
1,0,1,2011-01-02 17:00:00,38.82173538208008,1.7814446687698364
1,0,1,2011-01-02 18:00:00,38.635101318359375,1.8203294277191162
1,0,1,2011-01-02 19:00:00,38.214595794677734,1.9064265489578247
1,0,1,2011-01-02 20:00:00,38.3909797668457,2.2185885906219482
1,0,1,2011-01-02 21:00:00,38.6663818359375,2.7139244079589844
1,0,1,2011-01-02 22:00:00,38.52141189575195,2.9894328117370605
1,0,1,2011-01-02 23:00:00,37.89975357055664,2.9513678550720215
1,0,1,2011-01-03 00:00:00,37.15357971191406,2.7833259105682373
1,0,1,2011-01-03 01:00:00,36.54161071777344,2.6162912845611572
1,0,1,2011-01-03 02:00:00,36.57518005371094,2.6010477542877197
1,0,1,2011-01-03 03:00:00,36.89102554321289,2.64398455619812
1,0,1,2011-01-03 04:00:00,37.00360107421875,2.612177848815918
1,0,1,2011-01-03 05:00:00,36.31773376464844,2.3979852199554443
1,0,1,2011-01-03 06:00:00,36.00131607055664,2.2699484825134277
1,0,1,2011-01-03 07:00:00,35.966636657714844,2.1763322353363037
1,0,1,2011-01-03 08:00:00,35.5550422668457,1.995201826095581
1,0,1,2011-01-03 09:00:00,35.25733947753906,1.9151700735092163
1,0,1,2011-01-03 10:00:00,35.411163330078125,1.9914679527282715
1,0,1,2011-01-03 11:00:00,35.728370666503906,2.0849533081054688
1,0,1,2011-01-03 12:00:00,36.007232666015625,2.121080160140991
1,0,1,2011-01-03 13:00:00,36.25493621826172,2.137160301208496
1,0,1,2011-01-03 14:00:00,36.33018493652344,2.1423287391662598
1,0,1,2011-01-03 15:00:00,36.40395736694336,2.1426358222961426
1,0,1,2011-01-03 16:00:00,36.4259147644043,2.1388676166534424
1,0,1,2011-01-03 17:00:00,36.32609176635742,2.177940607070923
1,0,1,2011-01-03 18:00:00,35.66599655151367,2.1959965229034424
1,0,1,2011-01-03 19:00:00,34.8703498840332,2.215548276901245
1,0,1,2011-01-03 20:00:00,34.28431701660156,2.289700984954834
1,0,1,2011-01-03 21:00:00,33.9639778137207,2.3104474544525146
1,0,1,2011-01-03 22:00:00,33.815711975097656,2.2912464141845703
1,0,1,2011-01-03 23:00:00,33.67723083496094,2.248720645904541
